Open;High;Low;Close;Volume;10dPerf
9265.37;9272.76;8775.53;8804.88;24333037836;-0.0660617818362718
9352.39;9368.48;9202.35;9267.56;22700383839;0.00123269393862468
9340.86;9423.24;9305.91;9360.88;23133895765;-0.0199786216290068
9413;9457.42;9256.93;9342.53;26198609048;0.0105527654497528
9235.61;9505.05;9191.49;9412.61;26170255634;0.086818617432771
9324.79;9379.81;9141.25;9235.35;21132220847;0.232449766397233
9259.78;9377.49;9249.59;9324.72;21242676385;0.240868860508845
9193.99;9275.66;9132.05;9261.1;24324691031;0.146431135649031
9202.46;9383.16;9028.72;9199.58;26583653947;0.11595008078877
9422.46;9426.87;9085.37;9205.73;27706531577;0.11963517747334
9248.44;9516.18;9232.65;9427.69;28426779937;0.18014886287391
9565.1;9805.12;9256.15;9256.15;30948255332;0.160906335089631
9241.71;9749.53;9112.54;9551.71;32593129501;0.178654501345647
8667.58;10021.74;8662.62;9244.97;44496255609;0.148795965967197
7490.7;8691.54;7479.98;8660.7;28705065488;0.0554917084787157
7509.73;7532.87;7446.99;7493.49;16268708849;-0.105221805225029
8076.23;8093;7469.32;7514.67;21942878958;-0.0969041017857207
8243.4;8296.65;8074.46;8078.2;16803377857;-0.0309912002072797
8225.12;8296.69;8196.42;8243.72;15868748866;-0.00937782392186282
7997.81;8281.82;7949.44;8222.08;15504249442;-0.0424376955838662
7973.8;8082.63;7944.78;7988.56;13797825640;-0.0706373156935877
8100.93;8138.41;7902.16;7973.21;15651592610;-0.0310580669309425
8047.81;8134.83;8000.94;8103.91;14313052244;-0.0171860939504853
8204.67;8216.81;7985.09;8047.53;16071646996;0.00743224972959977
8373.46;8410.71;8182.71;8205.37;15220412632;0.00660859964423732
8320.83;8390.21;8284.13;8374.69;15151387859;0.0205643716624786
8336.9;8470.99;8276.61;8321.01;13808286059;0.00738741814457411
8315.66;8415.24;8313.34;8336.56;14532641605;-0.00672938530020128
8585.26;8721.78;8316.18;8321.76;19604381101;-0.00257932132207006
8585.28;8625.27;8471.93;8586.47;17618660671;0.0352790675523005
8229.84;8627.71;8169.3;8595.74;19384942333;0.060653809942758
8246.85;8332.72;8185.76;8228.78;15592264032;-0.00207860372159796
7989.12;8308.45;7905.77;8245.62;18009742607;-0.000754982216109035
8149.88;8161.41;7958.85;7988.16;13160830305;-0.0161116496304334
8210.15;8215.53;8071.12;8151.5;12200497197;-0.0395299157887543
8259.49;8260.06;8151.24;8205.94;13139456229;-0.0480977475967366
8390.77;8414.23;8146.44;8259.99;13668823409;-0.151020831877253
8344.21;8393.04;8227.7;8393.04;13125712443;-0.166562566097241
8299.72;8497.69;8232.68;8343.28;15305343413;-0.167314056680226
8104.23;8314.23;7830.76;8293.87;17115474183;-0.185409226804326
8246.04;8261.71;7990.5;8104.19;13034629109;-0.21061110943358
8251.27;8285.62;8125.43;8245.92;14141152736;-0.191437746672223
8113.1;8271.52;7965.92;8251.85;16408941156;-0.194255204676764
8487.67;8515.69;7895.63;8118.97;19258205289;-0.209970233895993
8603.43;8744.83;8325.4;8486.99;21744728353;-0.179819496294349
9729.32;9804.32;8370.8;8620.57;25002886689;-0.16774199776985
10067.96;10074.24;9727.14;9729.32;15144925408;-0.0609263021750776
10024.12;10074.44;9922.53;10070.39;13199651698;-0.0326355194411597
10183.65;10188.1;10000.71;10019.72;13425266806;-0.0155869751247009
10266.32;10285.87;10132.19;10181.64;14734189639;0.00649072062222333
10200.5;10295.67;9851.69;10266.41;19937691247;-0.00663378800325487
10247.8;10275.93;10191.47;10198.25;16169268880;-0.0232758818842135
10281.51;10296.77;10199.74;10241.27;15304603363;-0.026240699802705
10347.22;10386.87;10189.74;10276.79;15160167779;-0.00738991432683289
10356.47;10387.03;10313.09;10347.71;12043433567;-0.0215421827558526
10345.4;10422.13;10291.69;10358.05;13468713124;-0.0223172611423486
10415.36;10441.49;10226.6;10360.55;14109864675;-0.0247554016834315
10176.82;10442.25;10099.24;10410.13;15323563925;0.00612462258716739
10123.03;10215.95;9980.78;10178.37;15428063426;0.0430827313467865
10336.41;10394.35;10020.57;10115.98;14906809639;0.0503932233097213
10443.23;10450.31;10144.93;10334.97;17595943368;0.0767646332582148
10518.11;10595.64;10409.09;10441.28;13670567493;0.0979033038211605
10353.93;10558.67;10348.92;10517.25;15307366476;0.0782035220956243
10578.2;10898.76;10292.3;10353.3;19536574783;0.0164743998821855
10588.18;10627.27;10516.42;10575.53;14551239508;0.0197390370288946
10621.18;10762.64;10434.71;10594.49;16742664769;0.0449740198766684
10345.73;10736.1;10308.55;10623.54;19384917989;0.0456281323942223
9757.47;10396.59;9730.65;10346.76;17248102294;-0.00588106998771121
9630.59;9796.76;9582.94;9757.97;11445355859;-0.0368263538070054
9597.54;9673.22;9531.8;9630.66;11454806419;-0.0500480861704173
9514.84;9656.12;9428.3;9598.17;13595263986;-0.10824445821561
9756.79;9756.79;9421.63;9510.2;17045878501;-0.128787427686755
10203.43;10279.37;9716.66;9754.42;17603790323;-0.0571622714896175
10372.83;10381.33;10087.3;10185.5;14762609503;-0.00451927042712186
10126.3;10512.33;10126.3;10370.82;18438654080;-0.00033929869273619
10160.74;10304.62;10008.79;10138.52;14153856610;-0.0167802124801799
10407.64;10418.02;9982.3;10159.96;15451030650;0.0107703174587381
10136.31;10442.44;10078.19;10407.97;15627023886;-0.0447749276558097
10142.52;10233;9831.46;10131.06;17097508856;-0.109953595920799
10764.57;10798.73;9962.72;10138.05;19473084768;-0.120234336898776
10916.35;10947.04;10618.96;10763.23;15053082175;-0.052033552873784
10350.28;10916.05;10313.2;10916.05;16038264603;-0.0798191679297039
10233.01;10487.07;10119.09;10345.81;12999813869;-0.13542908859048
10358.72;10452.62;10086.7;10231.74;13778035685;-0.143211714650095
10319.42;10524.35;9855.48;10374.34;20228207096;-0.0961677689039281
10038.42;10437.41;9675.32;10311.55;22899115082;-0.126558046359159
10889.49;10889.56;10028.14;10051.7;19990838300;-0.0837251530968498
11385.05;11420.05;10830.33;10895.83;16681503537;0.00684733402145499
11528.19;11528.19;11320.95;11382.62;13647198229;0.0821863499068756
11349.74;11523.58;11248.29;11523.58;15774371518;0.108071698428893
11861.56;11915.66;11323.9;11354.02;18125355447;0.125762099145021
11953.47;11970.46;11709.75;11862.94;18339989960;0.234768543479935
11954.04;11979.42;11556.17;11966.41;19481591730;0.257088080343308
11476.19;12036.99;11433.7;11941.97;22194988641;0.250093689219773
11811.55;12273.82;11290.73;11478.17;23635107660;0.211073807092031
10960.74;11895.09;10960.74;11805.65;23875988832;0.196078133390069
10821.63;11009.21;10620.28;10970.18;16530894787;0.106775331320925
10519.28;10946.78;10503.5;10821.73;15352685061;0.102915532418189
10402.04;10657.95;10371.01;10518.17;17489094082;0.0623587862358179
10077.44;10446.92;9922.02;10399.67;17165337858;0.0054683745991293
9604.05;10085.63;9598.1;10085.63;16631520648;-0.0484455770342983
9522.33;9701.76;9437.34;9607.42;13829811132;-0.107709196685471
9548.18;9681.65;9472.95;9519.15;13791445323;-0.0960598173156086
9491.63;9575.55;9252.3;9552.86;13738687093;-0.104403702064786
9871.16;10167.32;9411.52;9477.68;16817809536;-0.0222946625678268
9913.13;9916.52;9717.98;9870.3;14495714483;0.0414301450572083
9809.1;10154.25;9773.96;9911.84;15821952090;-0.0902470745996591
9887.73;9908.8;9614.31;9811.93;17398734322;-0.0433041538368535
10346.75;10346.75;9883.6;9900.77;17851916995;-0.130930499158209
10596.95;10651.79;10154.92;10343.11;16334414913;-0.124651425737496
