EBIT Margin;NI Margin;Minorities;NI to Common Margin;EBITDA margin;Total Sales;EBIT (Operating Income);EBITDA;Working Capital;Total Capital;Total Debt;Net Debt;Days of Inventory on Hand;Days of Sales Outstanding;Days of Payables Outstanding;ST Debt & Curr. Portion LT Debt;Accounts Payable;Provision for Risks & Charges;Total Equity;Total Liabilities & Shareholders' Equity;Working Capital;Net Debt;Days of Inventory on Hand;Days of Sales Outstanding;Days of Payables Outstanding;Long Term Debt Maturities;Free Cash Flow;"0 - no fraud
1- fraud"
0.036929135;-0.105232828;-657.4;-0.105232828;0.066174705;-0.000943547;-0.292765175;-0.217934166;1799;2545.3;728.4;533;211.6642646;25.71084983;17.26168238;0.790909091;-0.351476793;-0.137546468;-0.416425772;-0.243081718;-0.243481918;0.051074739;-0.002501699;-0.67856265;-0.251481431;0.790909091;454;0
0.033420013;0.033227391;134.6;0.032408745;0.048420495;-0.019662457;0.145214521;0.089382449;-233.4;1514.3;541.4;46.4;5.393662417;91.80366946;64.28546268;-0.375;0.222551929;0.269921875;0.135575589;0.173864754;-0.242945183;-1.386023295;0.487934382;0.039004786;0.144844834;-0.364224138;68.4;0
0.041950794;0.045333042;160.1;0.043669194;0.058916589;-0.117258981;0.108069164;0.074092491;102.6;1811.8;812.9;152.9;6.987252979;106.173763;76.63076568;0.086153846;-0.132551241;0.110119963;0.027480916;0.044009516;-1.439588689;2.295258621;0.295456119;0.15653071;0.192038798;0.016949153;-97;0
0.037358219;0.031897017;100.2;0.030066615;0.050651143;-0.090993399;-0.190507152;-0.218518519;-54.3;1596.1;628.9;210.6;6.305030924;121.3581738;72.08310293;-0.362606232;-0.157624747;0.047658631;-0.025656265;-0.057509063;-1.529239766;0.377370831;-0.097638093;0.143014718;-0.05934513;-0.36;-156.4;1
0.046824465;0.036492172;120.7;0.034545923;0.059646813;0.048400648;0.314056225;0.234597156;-7.4;1522;649.3;175.4;5.688715892;125.9306935;66.45183607;0.568888889;0.128621517;0.37529754;-0.090585604;0.068820572;-0.863720074;-0.1671415;-0.097749724;0.037677888;-0.078121871;0.515625;31.4;1
0.03391804;0.035284886;132.8;0.033614296;0.045409674;0.130742151;-0.180929095;-0.13915547;-7.9;1625.5;632;155.2;5.783699928;115.1440251;60.58191837;-0.050991501;-0.033028123;-0.214807692;0.137283399;-0.005217972;0.067567568;-0.115165336;0.01669692;-0.085655594;-0.088333416;-0.068728522;-15.9;1
0.038089604;0.029465972;124.2;0.028260029;0.048328745;0.112435771;0.249253731;0.183946488;-53.1;1389.8;688.7;172.5;6.457581227;115.914014;60.2807597;1.886567164;0.266824484;0.986529513;-0.282512533;0.147980672;5.721518987;0.111469072;0.116513877;0.00668718;-0.004971098;-0.734317343;-31.1;1
0.236549161;-0.472541744;-860.5461795;-0.498701299;0.410451449;0.47080973;0.705270166;0.816739253;707.8623;7083.43755;1173.88605;480.9612;120.1639265;17.13171115;33.61205245;1.750165315;1.103402315;0;0.246038013;0.373663949;0.362762774;973.6414712;0.526774822;0.031434897;0.202676072;33.26435475;-344.26116;0
0.267774967;0.170888437;353.4335628;0.12847726;0.454707514;0.594218481;0.80466419;0.766111742;789.302715;6553.969695;725.66787;-9.22548;114.2007218;10.39890495;28.09594187;-0.100477519;-0.476320373;-0.093769345;-0.001911057;-0.074617707;0.115051211;-1.019181339;-0.049625581;-0.393002552;-0.164111091;-0.100477519;228.43738;0
0.288096738;0.292648085;794.7670666;0.256336999;0.462708878;0.127060025;0.212593996;0.146892591;1730.044015;13815.21278;499.80595;-1092.120715;120.980763;18.12806385;21.33429971;-0.740821344;0.570824114;0.24338444;1.264308034;0.939492928;1.191863758;117.3809097;0.059369512;0.743266616;-0.240662591;-0.740821344;344.13126;1
